20200316143919,189.40.186.130,34002,189.40.186.4,5001,3,0.0-1.0,2752512,22020096
20200316143920,189.40.186.130,34002,189.40.186.4,5001,3,1.0-2.0,1966080,15728640
20200316143921,189.40.186.130,34002,189.40.186.4,5001,3,2.0-3.0,1441792,11534336
20200316143922,189.40.186.130,34002,189.40.186.4,5001,3,3.0-4.0,1310720,10485760
20200316143923,189.40.186.130,34002,189.40.186.4,5001,3,4.0-5.0,1572864,12582912
20200316143924,189.40.186.130,34002,189.40.186.4,5001,3,5.0-6.0,1966080,15728640
20200316143925,189.40.186.130,34002,189.40.186.4,5001,3,6.0-7.0,1310720,10485760
20200316143926,189.40.186.130,34002,189.40.186.4,5001,3,7.0-8.0,1703936,13631488
20200316143927,189.40.186.130,34002,189.40.186.4,5001,3,8.0-9.0,1835008,14680064
20200316143928,189.40.186.130,34002,189.40.186.4,5001,3,9.0-10.0,2228224,17825792
20200316143929,189.40.186.130,34002,189.40.186.4,5001,3,10.0-11.0,2097152,16777216
20200316143930,189.40.186.130,34002,189.40.186.4,5001,3,11.0-12.0,1835008,14680064
20200316143931,189.40.186.130,34002,189.40.186.4,5001,3,12.0-13.0,2228224,17825792
20200316143932,189.40.186.130,34002,189.40.186.4,5001,3,13.0-14.0,1703936,13631488
20200316143933,189.40.186.130,34002,189.40.186.4,5001,3,14.0-15.0,1703936,13631488
20200316143934,189.40.186.130,34002,189.40.186.4,5001,3,15.0-16.0,1703936,13631488
20200316143935,189.40.186.130,34002,189.40.186.4,5001,3,16.0-17.0,1703936,13631488
20200316143936,189.40.186.130,34002,189.40.186.4,5001,3,17.0-18.0,1966080,15728640
20200316143937,189.40.186.130,34002,189.40.186.4,5001,3,18.0-19.0,1703936,13631488
20200316143938,189.40.186.130,34002,189.40.186.4,5001,3,19.0-20.0,1835008,14680064
20200316143939,189.40.186.130,34002,189.40.186.4,5001,3,20.0-21.0,2097152,16777216
20200316143940,189.40.186.130,34002,189.40.186.4,5001,3,21.0-22.0,1835008,14680064
20200316143941,189.40.186.130,34002,189.40.186.4,5001,3,22.0-23.0,1835008,14680064
20200316143942,189.40.186.130,34002,189.40.186.4,5001,3,23.0-24.0,1441792,11534336
20200316143943,189.40.186.130,34002,189.40.186.4,5001,3,24.0-25.0,1572864,12582912
20200316143945,189.40.186.130,34002,189.40.186.4,5001,3,25.0-26.0,1966080,15728640
20200316143945,189.40.186.130,34002,189.40.186.4,5001,3,26.0-27.0,1703936,13631488
20200316143946,189.40.186.130,34002,189.40.186.4,5001,3,27.0-28.0,1835008,14680064
20200316143947,189.40.186.130,34002,189.40.186.4,5001,3,28.0-29.0,1966080,15728640
20200316143948,189.40.186.130,34002,189.40.186.4,5001,3,29.0-30.0,2228224,17825792
20200316143949,189.40.186.130,34002,189.40.186.4,5001,3,30.0-31.0,1572864,12582912
20200316143950,189.40.186.130,34002,189.40.186.4,5001,3,31.0-32.0,1835008,14680064
20200316143951,189.40.186.130,34002,189.40.186.4,5001,3,32.0-33.0,1966080,15728640
20200316143952,189.40.186.130,34002,189.40.186.4,5001,3,33.0-34.0,1572864,12582912
20200316143953,189.40.186.130,34002,189.40.186.4,5001,3,34.0-35.0,1572864,12582912
20200316143954,189.40.186.130,34002,189.40.186.4,5001,3,35.0-36.0,1572864,12582912
20200316143955,189.40.186.130,34002,189.40.186.4,5001,3,36.0-37.0,1572864,12582912
20200316143956,189.40.186.130,34002,189.40.186.4,5001,3,37.0-38.0,1966080,15728640
20200316143957,189.40.186.130,34002,189.40.186.4,5001,3,38.0-39.0,1966080,15728640
20200316143958,189.40.186.130,34002,189.40.186.4,5001,3,39.0-40.0,2359296,18874368
20200316143959,189.40.186.130,34002,189.40.186.4,5001,3,40.0-41.0,1966080,15728640
20200316144000,189.40.186.130,34002,189.40.186.4,5001,3,41.0-42.0,1835008,14680064
20200316144001,189.40.186.130,34002,189.40.186.4,5001,3,42.0-43.0,2359296,18874368
20200316144002,189.40.186.130,34002,189.40.186.4,5001,3,43.0-44.0,2359296,18874368
