20200105143551,189.40.186.130,5001,189.40.186.4,45860,4,0.0-1.0,351612,2812896
20200105143552,189.40.186.130,5001,189.40.186.4,45860,4,1.0-2.0,440544,3524352
20200105143553,189.40.186.130,5001,189.40.186.4,45860,4,2.0-3.0,569036,4552288
20200105143554,189.40.186.130,5001,189.40.186.4,45860,4,3.0-4.0,636812,5094496
20200105143555,189.40.186.130,5001,189.40.186.4,45860,4,4.0-5.0,715884,5727072
20200105143556,189.40.186.130,5001,189.40.186.4,45860,4,5.0-6.0,840140,6721120
20200105143557,189.40.186.130,5001,189.40.186.4,45860,4,6.0-7.0,1375288,11002304
20200105143558,189.40.186.130,5001,189.40.186.4,45860,4,7.0-8.0,1304688,10437504
20200105143559,189.40.186.130,5001,189.40.186.4,45860,4,8.0-9.0,650932,5207456
20200105143600,189.40.186.130,5001,189.40.186.4,45860,4,9.0-10.0,313464,2507712
20200105143601,189.40.186.130,5001,189.40.186.4,45860,4,10.0-11.0,838728,6709824
20200105143601,189.40.186.130,5001,189.40.186.4,45860,4,0.0-11.2,8257560,5876314
